movedur,added_mass,target,effmass,effmass_mean,sum_t2
1.3,2,6,5.9157,5.6447,0.13344
1.3,2,7,3.8084,3.7379,0.16617
1.3,2,8,5.4321,5.4256,0.12851
1.4,2,1,3.6997,3.7943,0.12311
1.4,2,2,5.448,5.6395,0.10694
1.4,2,3,3.6997,3.7367,0.13314
1.4,2,4,5.448,5.4258,0.10292
1.4,2,5,3.9341,3.7968,0.12321
1.4,2,6,5.9157,5.6444,0.10688
1.4,2,7,3.8084,3.7378,0.13309
1.4,2,8,5.4321,5.4256,0.10293
1.5,2,1,3.6997,3.7944,0.10012
1.5,2,2,5.448,5.6396,0.086962
1.5,2,3,3.6997,3.7367,0.10826
1.5,2,4,5.448,5.4258,0.083693
1.5,2,5,3.9341,3.7967,0.10019
1.5,2,6,5.9157,5.6442,0.086917
1.5,2,7,3.8084,3.7378,0.10823
1.5,2,8,5.4321,5.4256,0.083699
1.6,2,1,3.6997,3.7945,0.08251
1.6,2,2,5.448,5.6397,0.071661
1.6,2,3,3.6997,3.7367,0.089214
1.6,2,4,5.448,5.4258,0.06897
1.6,2,5,3.9341,3.7966,0.082557
1.6,2,6,5.9157,5.6441,0.07163
1.6,2,7,3.8084,3.7377,0.089192
1.6,2,8,5.4321,5.4256,0.068974
1.7,2,1,3.6997,3.7945,0.068798
1.7,2,2,5.448,5.6398,0.059747
1.7,2,3,3.6997,3.7367,0.074383
1.7,2,4,5.448,5.4258,0.057506
1.7,2,5,3.9341,3.7965,0.068831
1.7,2,6,5.9157,5.6439,0.059726
1.7,2,7,3.8084,3.7377,0.074368
1.7,2,8,5.4321,5.4256,0.057509
1.8,2,1,3.6997,3.7945,0.057962
1.8,2,2,5.448,5.6399,0.050334
1.8,2,3,3.6997,3.7368,0.062664
1.8,2,4,5.448,5.4257,0.048447
1.8,2,5,3.9341,3.7965,0.057986
1.8,2,6,5.9157,5.6438,0.050318
1.8,2,7,3.8084,3.7377,0.062653
1.8,2,8,5.4321,5.4256,0.048449
1.9,2,1,3.6997,3.7946,0.049287
1.9,2,2,5.448,5.64,0.042798
1.9,2,3,3.6997,3.7368,0.053283
1.9,2,4,5.448,5.4257,0.041195
